ID (Fish_ID)	Species	ID (Family_ID)	Date/Time	Treat	Sex	G. aculeatus TL [mm]	G. aculeatus m [g]	BCI	Head kidney m [g]	Liver m [g]	Testes m [g]	Resp burst act	Sperm [#/µl]
S124	Gasterosteus aculeatus	Fam11	2013-03	Exposed	male	45.0	1.024	-0.07772	0.0058	0.0279	0.0157	3361759	
S125	Gasterosteus aculeatus	Fam11	2013-03	Unexposed	male	43.0	0.919	-0.02262	0.0035	0.0264	0.0161	2456302	
S126	Gasterosteus aculeatus	Fam12	2013-03	Unexposed	male	43.0	0.971	0.03242	0.0044	0.0360	0.0180	2697229	
S127	Gasterosteus aculeatus	Fam12	2013-03	Exposed	male	41.0	0.816	0.02957	0.0042	0.0226	0.0131	2997537	
S135	Gasterosteus aculeatus	Fam17	2013-10	Unexposed	male	31.0	0.331	0.13141	0.0036	0.0104	0.0001	299016	
S136	Gasterosteus aculeatus	Fam17	2013-10	Unexposed	male	33.0	0.391	0.07346	0.0020	0.0126	0.0006	937141	
S139	Gasterosteus aculeatus	Fam17	2013-10	Exposed	male	35.0	0.430	-0.04279	0.0039	0.0125	0.0001	1156073	
S141	Gasterosteus aculeatus	Fam17	2013-10	Exposed	male	35.0	0.428	-0.04746	0.0011	0.0099	0.0005	335314	
S143	Gasterosteus aculeatus	Fam17	2013-03	Unexposed	male	46.0	1.094	-0.09053	0.0059	0.0502	0.0083	3553671	171.6
S144	Gasterosteus aculeatus	Fam17	2013-03	Exposed	male	45.0	1.228	0.10395	0.0041	0.0435	0.0131	2572607	233.6
